name,demo_url,city,category,website_status,token,lead_id
1891 American Eatery and Bar,https://restaurant-ai-bot-two.vercel.app/demo/pZsrB8GI79A0,Houston,restaurant,,pZsrB8GI79A0,71
Almost Famous,https://restaurant-ai-bot-two.vercel.app/demo/DofacFrFhz54,Houston,cafe,,DofacFrFhz54,16
American and Cuban coffee,https://restaurant-ai-bot-two.vercel.app/demo/sJ-mP2KnDIBn,Miami,cafe,,sJ-mP2KnDIBn,24
Antidote Coffee,https://restaurant-ai-bot-two.vercel.app/demo/yk04K6KX68CV,Houston,cafe,,yk04K6KX68CV,17
Apothecary Cafe & Wine Bar,https://restaurant-ai-bot-two.vercel.app/demo/01Gs2yIATAWL,Austin,cafe,,01Gs2yIATAWL,41
ARCH Café,https://restaurant-ai-bot-two.vercel.app/demo/x7Y2bFAAgmfk,Miami,cafe,,x7Y2bFAAgmfk,21
B&B Joint,https://restaurant-ai-bot-two.vercel.app/demo/6haIdu9tl9Pz,Miami,restaurant,,6haIdu9tl9Pz,35
Bao'd Up,https://restaurant-ai-bot-two.vercel.app/demo/VvIhVSZHkCg9,,,,VvIhVSZHkCg9,3
Bianchini Mercato,https://restaurant-ai-bot-two.vercel.app/demo/O--RAyQIbY5y,Miami,cafe,,O--RAyQIbY5y,29
Black Hole Coffee House,https://restaurant-ai-bot-two.vercel.app/demo/5i9Qrv3PLlkD,Houston,cafe,,5i9Qrv3PLlkD,43
Blue Lacy,https://restaurant-ai-bot-two.vercel.app/demo/u2jjsqsA7leB,,,,u2jjsqsA7leB,5
Bonjour Cafe,https://restaurant-ai-bot-two.vercel.app/demo/7qdviCOL8_nD,Houston,cafe,,7qdviCOL8_nD,4
Cafe Galleria,https://restaurant-ai-bot-two.vercel.app/demo/A8bYXTkKE1Ot,Miami,cafe,,A8bYXTkKE1Ot,23
Chopsticks Express,https://restaurant-ai-bot-two.vercel.app/demo/zXADMT_yLjvi,Houston,restaurant,,zXADMT_yLjvi,45
Chuy's,https://restaurant-ai-bot-two.vercel.app/demo/hgzM_wbTIjKl,,,,hgzM_wbTIjKl,6
Cliff's Grill,https://restaurant-ai-bot-two.vercel.app/demo/Qk1NdQZI-j32,Houston,restaurant,,Qk1NdQZI-j32,9
Clos Bistro & Cafe,https://restaurant-ai-bot-two.vercel.app/demo/LwyD63hWc2Au,Miami,cafe,,LwyD63hWc2Au,27
CoCo Fresh Tea & Juice,https://restaurant-ai-bot-two.vercel.app/demo/X2j-uxuIRJs2,Houston,cafe,,X2j-uxuIRJs2,63
Colleen's Kitchen,https://restaurant-ai-bot-two.vercel.app/demo/nGLcnkGCjNKk,,,,nGLcnkGCjNKk,2
Conscious Cravings,https://restaurant-ai-bot-two.vercel.app/demo/-ikz1E_rxPgp,Austin,restaurant,,-ikz1E_rxPgp,38
Conscious Cravings,https://restaurant-ai-bot-two.vercel.app/demo/uQTrDmllpefG,,,,uQTrDmllpefG,11
Cream Parlor,https://restaurant-ai-bot-two.vercel.app/demo/QDfZzeoBRE9n,Miami,cafe,,QDfZzeoBRE9n,
Cure Cafe,https://restaurant-ai-bot-two.vercel.app/demo/WYER5Kr_hL-K,Miami,cafe,,WYER5Kr_hL-K,22
Dish Society,https://restaurant-ai-bot-two.vercel.app/demo/iDTCVws6hR6R,,,,iDTCVws6hR6R,8
Dish Society,https://restaurant-ai-bot-two.vercel.app/demo/rLb8FCOkUS6M,Houston,restaurant,,rLb8FCOkUS6M,66
Double Trouble,https://restaurant-ai-bot-two.vercel.app/demo/b9vB_nN-m5gt,Austin,cafe,,b9vB_nN-m5gt,40
E Star Chinese Buffet,https://restaurant-ai-bot-two.vercel.app/demo/3dmomuSTkstD,,,,3dmomuSTkstD,2
Eggman,https://restaurant-ai-bot-two.vercel.app/demo/1sYi46Z2z84D,,,,1sYi46Z2z84D,12
Elaine's Pork and Pie,https://restaurant-ai-bot-two.vercel.app/demo/3L8UGdBjVc5i,Austin,restaurant,,3L8UGdBjVc5i,53
Focaccia Bistro,https://restaurant-ai-bot-two.vercel.app/demo/DprFGmpmjPz8,Miami,restaurant,,DprFGmpmjPz8,14
Frenchies Dinner,https://restaurant-ai-bot-two.vercel.app/demo/bIO9ncQPL6S5,Miami,restaurant,,bIO9ncQPL6S5,196
Galloway's Sandwich Shop,https://restaurant-ai-bot-two.vercel.app/demo/byJ6FILpk4gW,Austin,restaurant,,byJ6FILpk4gW,50
Go Fish,https://restaurant-ai-bot-two.vercel.app/demo/1CEYJhz53TeH,Houston,restaurant,,1CEYJhz53TeH,10
GVA BOX,https://restaurant-ai-bot-two.vercel.app/demo/ZoCmFLuIFi9Z,Miami,cafe,,ZoCmFLuIFi9Z,25
GW Gyro & Wings,https://restaurant-ai-bot-two.vercel.app/demo/lrwlM-PqbgwT,Houston,restaurant,,lrwlM-PqbgwT,44
Half Moon Empanadas,https://restaurant-ai-bot-two.vercel.app/demo/U5UbrUYNbnuP,Miami,restaurant,,U5UbrUYNbnuP,12
Harold's,https://restaurant-ai-bot-two.vercel.app/demo/6uHzUctF7gAz,Houston,restaurant,,6uHzUctF7gAz,65
Jenni's Noodle House,https://restaurant-ai-bot-two.vercel.app/demo/-zIJ-V-XOPvJ,Houston,restaurant,,-zIJ-V-XOPvJ,68
Juan Valdez Café,https://restaurant-ai-bot-two.vercel.app/demo/GY4GRz7utQ3i,Miami,cafe,,GY4GRz7utQ3i,26
Katz's,https://restaurant-ai-bot-two.vercel.app/demo/Urn-76MPxlyS,Houston,restaurant,,Urn-76MPxlyS,55
Kerbey Lane Café,https://restaurant-ai-bot-two.vercel.app/demo/awQfMiVIg5at,,,,awQfMiVIg5at,10
Koko Cafe,https://restaurant-ai-bot-two.vercel.app/demo/_NZTxd94xBOK,Houston,cafe,,_NZTxd94xBOK,42
Korea House,https://restaurant-ai-bot-two.vercel.app/demo/F1vDQauRYi-3,Houston,restaurant,,F1vDQauRYi-3,7
L'Oca d'Oro,https://restaurant-ai-bot-two.vercel.app/demo/2mzDCfq8THG7,,,,2mzDCfq8THG7,1
